0,0,0,0,0,0,0,0,0,0,12,15,0,0,0,16
0,2,0,0,1,0,9,0,0,0,11,0,0,0,0,0
0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,9,0,0,0,0,11,0,0,0,0,0,0,0,0
0,0,14,0,7,0,15,0,0,0,13,0,5,0,0,0
0,0,0,0,10,13,3,5,0,15,0,6,0,0,0,0
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,11,15,0,0,0,0,0,9,0,0,3,10,14,0,0
8,0,16,0,11,0,0,0,0,0,0,0,9,13,0,0
6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
5,14,0,0,0,11,6,0,0,12,0,0,0,9,8,0
0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
0,0,0,8,0,10,7,4,14,11,6,0,0,0,0,2
